                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1204,                 1.6243,                 1.3217,                0.95781,                0.80471,                0.77265,                0.80587,                0.49911,                0.70516,                0.66448,                0.66624,                0.35071,                 1.2808,                 1.6198,                 0.8391,                0.90501,             0.00033199,             0.00033199,             0.00033199
                      2,                 1.0622,                 1.4185,                0.74611,                0.93961,                0.83002,                0.78214,                0.82873,                0.53145,                0.75457,                0.69265,                0.72351,                0.40158,                 1.2168,                  1.605,                0.74921,                0.89358,             0.00065874,             0.00065874,             0.00065874
                      3,                 1.0581,                 1.3715,                0.70352,                 0.9383,                0.81023,                0.77814,                 0.8278,                0.52654,                0.71221,                0.66042,                0.69803,                0.36785,                 1.2536,                 1.5736,                0.77216,                0.90934,             0.00097889,             0.00097889,             0.00097889
                      4,                 1.0624,                  1.408,                0.67766,                0.93807,                0.84699,                0.78149,                0.83045,                 0.5298,                0.73248,                0.67772,                 0.7001,                0.38164,                 1.2342,                  1.555,                 0.7386,                0.90251,              0.0009703,              0.0009703,              0.0009703
                      5,                 1.0497,                 1.3441,                0.65596,                 0.9302,                 0.8576,                0.80273,                0.85251,                0.56298,                0.77729,                0.70903,                0.75373,                0.41727,                 1.1535,                 1.3934,                0.70516,                0.88799,              0.0009604,              0.0009604,              0.0009604
                      6,                 1.0015,                 1.2749,                0.61857,                0.92033,                0.84544,                0.82091,                0.85915,                0.56479,                 0.7818,                0.72244,                0.75972,                 0.4172,                 1.1525,                  1.425,                0.67533,                0.88225,              0.0009505,              0.0009505,              0.0009505
                      7,                0.99514,                 1.2578,                 0.6054,                0.91953,                0.87398,                0.81573,                0.86422,                0.57738,                0.78171,                 0.7255,                 0.7642,                0.43203,                 1.1085,                  1.291,                 0.6492,                0.87696,              0.0009406,              0.0009406,              0.0009406
                      8,                0.96068,                 1.2175,                0.57866,                0.91151,                0.86094,                0.82028,                 0.8695,                0.57151,                0.76873,                0.73388,                 0.7459,                0.41459,                 1.1077,                 1.3579,                0.65572,                0.87694,              0.0009307,              0.0009307,              0.0009307
                      9,                0.93803,                 1.1818,                0.56328,                0.90856,                0.87841,                0.81668,                0.88025,                0.58809,                0.77773,                0.71842,                0.76267,                0.43549,                 1.0736,                 1.3124,                0.64817,                0.87182,              0.0009208,              0.0009208,              0.0009208
                     10,                0.92753,                 1.1739,                0.54977,                0.90591,                0.86932,                0.83358,                0.87978,                0.59329,                0.76006,                0.71697,                0.74702,                0.42168,                  1.051,                 1.2802,                0.61981,                0.86853,              0.0009109,              0.0009109,              0.0009109
                     11,                0.91999,                 1.1675,                0.54104,                0.89824,                0.87164,                0.84106,                0.87988,                0.58932,                0.77097,                0.72746,                0.75482,                0.43185,                 1.0761,                  1.322,                0.62162,                0.86984,               0.000901,               0.000901,               0.000901
